1000 | DEPOSIT | +2280.68 | 15.12.2025
1000 | WITHDRAW | -10.00 | 15.12.2025
1001 | DEPOSIT | +1425.88 | 15.12.2025
1001 | DEPOSIT | +25.74 | 15.12.2025
1002 | DEPOSIT | +50.00 | 15.12.2025
1002 | DEPOSIT | +95.10 | 15.12.2025
1002 | WITHDRAW | -75.59 | 15.12.2025
1003 | DEPOSIT | +3500.00 | 15.12.2025
1004 | DEPOSIT | +1246.09 | 15.12.2025
1004 | WITHDRAW | -15.00 | 15.12.2025
1004 | WITHDRAW | -3.25 | 15.12.2025
1004 | DEPOSIT | +85.00 | 15.12.2025
1005 | DEPOSIT | +150684.78 | 15.12.2025
1005 | DEPOSIT | +36985.78 | 15.12.2025
1005 | DEPOSIT | +12.26 | 15.12.2025
1005 | TRANSFER_SENT | -6851.98 | 15.12.2025
1001 | TRANSFER_RECEIVED | +6851.98 | 15.12.2025
1006 | DEPOSIT | +6987.15 | 15.12.2025
1007 | DEPOSIT | +256.00 | 15.12.2025
1005 | DEPOSIT | +25000.00 | 16.12.2025
1005 | DEPOSIT | +14.65 | 20.12.2025
1005 | WITHDRAW | -34.56 | 20.12.2025
1005 | TRANSFER_SENT | -450.00 | 20.12.2025
1002 | TRANSFER_RECEIVED | +450.00 | 20.12.2025
